,Leaf number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
0,1,1,64,50,1957.519,416.452,515.606,329.99300000000005,167.019,79.32300000000001,White LED,12.5 mA,b'OK Read',10:06:43,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
1,1,1,64,50,3800.312,838.174,1014.578,650.559,323.6,164.747,White LED,25 mA,b'OK Read',10:06:44,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
2,1,1,64,50,5937.090999999999,1338.971,1674.332,1084.264,516.716,262.374,White LED,50 mA,b'OK Read',10:06:46,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
3,1,1,64,50,6704.3240000000005,1576.19,1940.451,1258.69,600.226,298.98400000000004,White LED,100 mA,b'OK Read',10:06:47,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
4,1,1,64,100,1950.349,440.173,535.01,341.779,172.238,85.42399999999999,White LED,12.5 mA,b'OK Read',10:06:48,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
5,1,1,64,100,3785.9709999999995,861.8960000000001,1050.616,676.487,334.038,164.747,White LED,25 mA,b'OK Read',10:06:49,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
6,1,1,64,100,5969.358,1389.05,1729.773,1121.978,532.374,262.374,White LED,50 mA,b'OK Read',10:06:50,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
7,1,1,64,100,5818.78,1534.0179999999998,1710.369,1112.55,584.567,259.323,White LED,100 mA,b'OK Read',10:06:51,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
8,1,1,64,150,1945.569,441.05199999999996,539.63,347.279,172.239,85.42399999999999,White LED,12.5 mA,b'OK Read',10:06:52,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
9,1,1,64,150,3676.025,848.7180000000001,1036.755,669.416,327.079,160.679,White LED,25 mA,b'OK Read',10:06:54,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
10,1,1,64,150,4859.141,1179.068,1400.8210000000001,906.697,452.344,213.56,White LED,50 mA,b'OK Read',10:06:55,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
11,1,1,64,150,5509.257,1321.399,1624.435,1057.5510000000002,504.537,246.10299999999998,White LED,100 mA,b'OK Read',10:06:56,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
12,1,1,64,200,1944.971,444.12699999999995,547.484,353.565,173.543,85.42399999999999,White LED,12.5 mA,b'OK Read',10:06:57,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
13,1,1,64,200,3658.697,863.2139999999999,1045.0710000000001,676.487,332.73400000000004,160.17,White LED,25 mA,b'OK Read',10:06:58,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
14,1,1,64,200,4531.693,1096.48,1312.576,853.2689999999999,422.767,201.357,White LED,50 mA,b'OK Read',10:06:59,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
15,1,1,64,200,5955.017,1209.818,1789.3729999999998,1175.013,465.827,270.001,White LED,100 mA,b'OK Read',10:07:00,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
16,1,1,64,250,1943.1779999999999,450.189,561.067,365.82199999999995,175.37,86.64399999999999,White LED,12.5 mA,b'OK Read',10:07:02,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
17,1,1,64,250,3757.29,888.7810000000001,1103.285,719.3860000000001,344.477,168.407,White LED,25 mA,b'OK Read',10:07:03,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
18,1,1,64,250,6873.545,1682.675,2155.564,1430.286,643.024,319.73,White LED,50 mA,b'OK Read',10:07:05,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
19,1,1,64,250,7900.347,2012.6729999999998,2576.919,1718.795,762.025,375.866,White LED,100 mA,b'OK Read',10:07:07,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
20,1,2,64,50,2000.5420000000001,448.08099999999996,543.326,344.13599999999997,177.458,85.42399999999999,White LED,12.5 mA,b'OK Read',10:07:13,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
21,1,2,64,50,3886.357,885.6189999999999,1053.388,678.8439999999999,339.25800000000004,170.84799999999998,White LED,25 mA,b'OK Read',10:07:14,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
22,1,2,64,50,7019.821999999999,1718.521,2123.407,1433.115,636.761,329.49300000000005,White LED,50 mA,b'OK Read',10:07:15,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
23,1,2,64,50,8059.529,2108.615,2655.6459999999997,1829.108,767.245,396.61199999999997,White LED,100 mA,b'OK Read',10:07:16,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
24,1,2,64,100,1996.957,492.889,587.679,384.207,187.89700000000002,91.52600000000001,White LED,12.5 mA,b'OK Read',10:07:17,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
25,1,2,64,100,3868.4309999999996,930.426,1111.601,725.9860000000001,354.916,173.899,White LED,25 mA,b'OK Read',10:07:19,38.76835883666666,30.16507824,8.603280596333333,2.0552456326666673,1.5989053293333335,0.456340303
